Fiscal Year,Individual Income Taxes,Corporate Income Taxes,Social Insurance and Retirement Receipts,Excise Taxes,Other,,,,,,,,,,,
1934,14.2,12.3,1.00,45.80,26.70,,,,,,,,,,,
1935,14.6,14.7,0.90,39.90,30.00,,,,,,,,,,,
1936,17.2,18.3,1.30,41.60,21.60,,,,,,,,,,,
1937,20.3,19.3,10.80,34.80,14.90,,,,,,,,,,,
1938,19,19.1,22.80,27.60,11.50,,,,,,,,,,,
1939,16.3,17.9,25.30,29.70,10.70,,,,,,,,,,,
1940,13.6,18.3,27.30,30.20,10.70,,,,,,,,,,,
1941,15.1,24.4,22.30,29.30,9.00,,,,,,,,,,,
1942,22.3,32.2,16.80,23.20,5.50,,,,,,,,,,,
1943,27.1,39.8,12.70,17.10,3.30,,,,,,,,,,,
1944,45,33.9,7.90,10.90,2.20,,,,,,,,,,,
1945,40.7,35.4,7.60,13.90,2.40,,,,,,,,,,,
1946,41,30.2,7.90,17.80,3.10,,,,,,,,,,,
1947,46.6,22.4,8.90,18.70,3.50,,,,,,,,,,,
1948,46.5,23.3,9.00,17.70,3.50,,,,,,,,,,,
1949,39.5,28.4,9.60,19.00,3.50,,,,,,,,,,,
1950,39.9,26.5,11.00,19.10,3.40,,,,,,,,,,,
1951,41.9,27.3,11.00,16.80,3.10,,,,,,,,,,,
1952,42.2,32.1,9.70,13.40,2.60,,,,,,,,,,,
1953,42.8,30.5,9.80,14.20,2.70,,,,,,,,,,,
1954,42.4,30.3,10.30,14.30,2.70,,,,,,,,,,,
1955,43.9,27.3,12.00,14.00,2.80,,,,,,,,,,,
1956,43.2,28,12.50,13.30,3.00,,,,,,,,,,,
1957,44.5,26.5,12.50,13.20,3.30,,,,,,,,,,,
1958,43.6,25.2,14.10,13.40,3.70,,,,,,,,,,,
1959,46.3,21.8,14.80,13.30,3.70,,,,,,,,,,,
1960,44,23.2,15.90,12.60,4.20,,,,,,,,,,,
1961,43.8,22.2,17.40,12.60,4.00,,,,,,,,,,,
1962,45.7,20.6,17.10,12.60,4.00,,,,,,,,,,,
1963,44.7,20.3,18.60,12.40,4.10,,,,,,,,,,,
1964,43.2,20.9,19.50,12.20,4.20,,,,,,,,,,,
1965,41.8,21.8,19.00,12.50,4.90,,,,,,,,,,,
1966,42.4,23,19.50,10.00,5.10,,,,,,,,,,,
1967,41.3,22.8,21.90,9.20,4.70,,,,,,,,,,,
1968,44.9,18.7,22.20,9.20,5.00,,,,,,,,,,,
1969,46.7,19.6,20.90,8.10,4.70,,,,,,,,,,,
1970,46.9,17,23.00,8.10,4.90,,,,,,,,,,,
1971,46.1,14.3,25.30,8.90,5.40,,,,,,,,,,,
1972,45.7,15.5,25.40,7.50,6.00,,,,,,,,,,,
1973,44.7,15.7,27.30,7.00,5.20,,,,,,,,,,,
1974,45.2,14.7,28.50,6.40,5.20,,,,,,,,,,,
1975,43.9,14.6,30.30,5.90,5.40,,,,,,,,,,,
1976,44.2,13.9,30.50,5.70,5.80,,,,,,,,,,,
1977,44.3,15.4,29.90,4.90,5.30,,,,,,,,,,,
1978,45.3,15,30.30,4.60,4.80,,,,,,,,,,,
1979,47,14.2,30.00,4.00,4.80,,,,,,,,,,,
1980,47.2,12.5,30.50,4.70,5.10,,,,,,,,,,,
1981,47.7,10.2,30.50,6.80,4.80,,,,,,,,,,,
1982,48.2,8,32.60,5.90,5.30,,,,,,,,,,,
1983,48.1,6.2,34.80,5.90,5.00,,,,,,,,,,,
1984,44.8,8.5,35.90,5.60,5.20,,,,,,,,,,,
1985,45.6,8.4,36.10,4.90,5.00,,,,,,,,,,,
1986,45.4,8.2,36.90,4.30,5.20,,,,,,,,,,,
1987,46,9.8,35.50,3.80,4.90,,,,,,,,,,,
1988,44.1,10.4,36.80,3.90,4.80,,,,,,,,,,,
1989,45,10.4,36.30,3.50,4.90,,,,,,,,,,,
1990,45.2,9.1,36.80,3.40,5.40,,,,,,,,,,,
1991,44.3,9.3,37.50,4.00,4.80,,,,,,,,,,,
1992,43.6,9.2,37.90,4.20,5.10,,,,,,,,,,,
1993,44.2,10.2,37.10,4.20,4.40,,,,,,,,,,,
1994,43.1,11.2,36.70,4.40,4.60,,,,,,,,,,,
1995,43.7,11.6,35.80,4.30,4.60,,,,,,,,,,,
1996,45.2,11.8,35.10,3.70,4.20,,,,,,,,,,,
1997,46.7,11.5,34.20,3.60,4.00,,,,,,,,,,,
1998,48.1,11,33.20,3.30,4.40,,,,,,,,,,,
1999,48.1,10.1,33.50,3.90,4.40,,,,,,,,,,,
2000,49.6,10.2,32.20,3.40,4.50,,,,,,,,,,,
2001,49.9,7.6,34.90,3.30,4.30,,,,,,,,,,,
2002,46.3,8,37.80,3.60,4.30,,,,,,,,,,,
2003,44.5,7.4,40.00,3.80,4.30,,,,,,,,,,,
2004,43,10.1,39.00,3.70,4.20,,,,,,,,,,,
2005,43.1,12.9,36.90,3.40,3.80,,,,,,,,,,,
2006,43.4,14.7,34.80,3.10,4.00,,,,,,,,,,,
2007,45.3,14.4,33.90,2.50,3.90,,,,,,,,,,,
2008,45.4,12.1,35.70,2.70,4.20,,,,,,,,,,,
2009,43.5,6.6,42.30,3.00,4.70,,,,,,,,,,,
2010,41.5,8.9,40.00,3.10,6.50,,,,,,,,,,,
2011,47.4,7.9,35.50,3.10,6.10,,,,,,,,,,,
2012,46.2,9.9,34.50,3.20,6.20,,,,,,,,,,,
2013 estimate,45.5,10.6,35.10,3.10,5.70,,,,,,,,,,,
2014 estimate,45.6,11,34.00,3.50,6.00,,,,,,,,,,,
2015 estimate,46.6,11.3,32.60,3.40,6.20,,,,,,,,,,,
2016 estimate,47.7,11.3,32.60,3.20,5.20,,,,,,,,,,,
2017 estimate,49,11.4,32.40,3.10,4.00,,,,,,,,,,,
2018 estimate,49.8,11.3,32.20,3.10,3.60,,,,,,,,,,,
